Group,Detector_Name,Detector_ID,Element_ID,Hits
Station 1,D0U,1,1,14
Station 1,D0U,1,2,22
Station 1,D0U,1,3,26
Station 1,D0U,1,4,25
Station 1,D0U,1,5,49
Station 1,D0U,1,6,54
Station 1,D0U,1,7,78
Station 1,D0U,1,8,88
Station 1,D0U,1,9,132
Station 1,D0U,1,10,157
Station 1,D0U,1,11,187
Station 1,D0U,1,12,203
Station 1,D0U,1,13,274
Station 1,D0U,1,14,336
Station 1,D0U,1,15,373
Station 1,D0U,1,16,446
Station 1,D0U,1,17,605
Station 1,D0U,1,18,775
Station 1,D0U,1,19,920
Station 1,D0U,1,20,1092
Station 1,D0U,1,21,1312
Station 1,D0U,1,22,1493
Station 1,D0U,1,23,1620
Station 1,D0U,1,24,1726
Station 1,D0U,1,25,1887
Station 1,D0U,1,26,1884
Station 1,D0U,1,27,2115
Station 1,D0U,1,28,2093
Station 1,D0U,1,29,2023
Station 1,D0U,1,30,2072
Station 1,D0U,1,31,2025
Station 1,D0U,1,32,2075
Station 1,D0U,1,33,2102
Station 1,D0U,1,34,2036
Station 1,D0U,1,35,2064
Station 1,D0U,1,36,2021
Station 1,D0U,1,37,2073
Station 1,D0U,1,38,1915
Station 1,D0U,1,39,1925
Station 1,D0U,1,40,1850
Station 1,D0U,1,41,1870
Station 1,D0U,1,42,1807
Station 1,D0U,1,43,1811
Station 1,D0U,1,44,1731
Station 1,D0U,1,45,1762
Station 1,D0U,1,46,1770
Station 1,D0U,1,47,1679
Station 1,D0U,1,48,1663
Station 1,D0U,1,49,1653
Station 1,D0U,1,50,1618
Station 1,D0U,1,51,1605
Station 1,D0U,1,52,1524
Station 1,D0U,1,53,1514
Station 1,D0U,1,54,1450
Station 1,D0U,1,55,1474
Station 1,D0U,1,56,1430
Station 1,D0U,1,57,1375
Station 1,D0U,1,58,1341
Station 1,D0U,1,59,1305
Station 1,D0U,1,60,1282
Station 1,D0U,1,61,1183
Station 1,D0U,1,62,1125
Station 1,D0U,1,63,1174
Station 1,D0U,1,64,1133
Station 1,D0U,1,65,1133
Station 1,D0U,1,66,1092
Station 1,D0U,1,67,1094
Station 1,D0U,1,68,1042
Station 1,D0U,1,69,1005
Station 1,D0U,1,70,999
Station 1,D0U,1,71,918
Station 1,D0U,1,72,899
Station 1,D0U,1,73,893
Station 1,D0U,1,74,964
Station 1,D0U,1,75,889
Station 1,D0U,1,76,855
Station 1,D0U,1,77,821
Station 1,D0U,1,78,851
Station 1,D0U,1,79,787
Station 1,D0U,1,80,772
Station 1,D0U,1,81,698
Station 1,D0U,1,82,684
Station 1,D0U,1,83,722
Station 1,D0U,1,84,679
Station 1,D0U,1,85,640
Station 1,D0U,1,86,592
Station 1,D0U,1,87,641
Station 1,D0U,1,88,592
Station 1,D0U,1,89,582
Station 1,D0U,1,90,596
Station 1,D0U,1,91,578
Station 1,D0U,1,92,575
Station 1,D0U,1,93,561
Station 1,D0U,1,94,562
Station 1,D0U,1,95,571
Station 1,D0U,1,96,587
Station 1,D0U,1,97,570
Station 1,D0U,1,98,563
Station 1,D0U,1,99,573
Station 1,D0U,1,100,621
Station 1,D0U,1,101,2
Station 1,D0U,1,102,608
Station 1,D0U,1,103,646
Station 1,D0U,1,104,620
Station 1,D0U,1,105,667
Station 1,D0U,1,106,685
Station 1,D0U,1,107,688
Station 1,D0U,1,108,698
Station 1,D0U,1,109,713
Station 1,D0U,1,110,755
Station 1,D0U,1,111,752
Station 1,D0U,1,112,791
Station 1,D0U,1,113,783
Station 1,D0U,1,114,816
Station 1,D0U,1,115,862
Station 1,D0U,1,116,922
Station 1,D0U,1,117,976
Station 1,D0U,1,118,1020
Station 1,D0U,1,119,1090
Station 1,D0U,1,120,1140
Station 1,D0U,1,121,1198
Station 1,D0U,1,122,1209
Station 1,D0U,1,123,1291
Station 1,D0U,1,124,1330
